| p                                          | propLabel                                                               | eff   | notes |
| http://www.wikidata.org/prop/direct/P13613 | Enciclopedia Galega Universal ID                                        | 85    |       |
| http://www.wikidata.org/prop/direct/P9179  | Biblioteca Iglesia Nacional Española en Roma ID                         | 85    |       |
| http://www.wikidata.org/prop/direct/P2003  | Instagram username                                                      | 84    |       |
| http://www.wikidata.org/prop/direct/P1273  | CANTIC ID (former scheme)                                               | 83    |       |
| http://www.wikidata.org/prop/direct/P12582 | Oxford Reference overview ID                                            | 81    |       |
| http://www.wikidata.org/prop/direct/P2924  | Great Russian Encyclopedia Online ID (2017)                             | 76    |       |
| http://www.wikidata.org/prop/direct/P11828 | Marsilio Editori author ID                                              | 75    |       |
| http://www.wikidata.org/prop/direct/P9346  | France 24 topic ID (French)                                             | 75    |       |
| http://www.wikidata.org/prop/direct/P3348  | National Library of Greece ID                                           | 73    |       |
| http://www.wikidata.org/prop/direct/P1263  | Notable Names Database ID                                               | 72    |       |
| http://www.wikidata.org/prop/direct/P935   | Commons gallery                                                         | 71    |       |
| http://www.wikidata.org/prop/direct/P9164  | Svenska Institutet i Rom ID                                             | 70    |       |
| http://www.wikidata.org/prop/direct/P1749  | Parlement.com ID                                                        | 69    |       |
| http://www.wikidata.org/prop/direct/P9634  | AADFI member ID                                                         | 68    |       |
| http://www.wikidata.org/prop/direct/P4666  | CineMagia person ID                                                     | 68    |       |
| http://www.wikidata.org/prop/direct/P2732  | Persée author ID                                                        | 68    |       |
| http://www.wikidata.org/prop/direct/P9247  | Pontifical University of Salamanca ID                                   | 68    |       |
| http://www.wikidata.org/prop/direct/P9037  | BHCL UUID                                                               | 67    |       |
| http://www.wikidata.org/prop/direct/P5008  | on focus list of Wikimedia project                                      | 67    |       |
| http://www.wikidata.org/prop/direct/P3846  | DBC author ID                                                           | 65    |       |
| http://www.wikidata.org/prop/direct/P349   | NDL Authority ID                                                        | 65    |       |
| http://www.wikidata.org/prop/direct/P10660 | C-SPAN person numeric ID                                                | 61    |       |
| http://www.wikidata.org/prop/direct/P9231  | Archivo Linz de la Transición Española ID                               | 61    |       |
| http://www.wikidata.org/prop/direct/P13951 | National Virtual Library of India ID                                    | 60    |       |
| http://www.wikidata.org/prop/direct/P2190  | C-SPAN person string ID (deprecated)                                    | 59    |       |
| http://www.wikidata.org/prop/direct/P11182 | UOM ID                                                                  | 58    |       |
| http://www.wikidata.org/prop/direct/P2372  | ODIS ID                                                                 | 57    |       |
| http://www.wikidata.org/prop/direct/P7184  | Awards & Winners artist ID                                              | 57    |       |
| http://www.wikidata.org/prop/direct/P1607  | Dialnet author ID                                                       | 56    |       |
| http://www.wikidata.org/prop/direct/P4985  | TMDB person ID                                                          | 55    |       |
| http://www.wikidata.org/prop/direct/P2605  | ČSFD person ID                                                          | 55    |       |
| http://www.wikidata.org/prop/direct/P10031 | Enciclopedia di Roma person ID                                          | 54    |       |
| http://www.wikidata.org/prop/direct/P14091 | Accademia Nazionale dei Lincei ID                                       | 54    |       |
| http://www.wikidata.org/prop/direct/P1889  | different from                                                          | 53    |       |
| http://www.wikidata.org/prop/direct/P10387 | Databazeknih.cz author ID                                               | 53    |       |
| http://www.wikidata.org/prop/direct/P1050  | medical condition                                                       | 53    |       |
| http://www.wikidata.org/prop/direct/P8286  | Olympedia people ID                                                     | 53    |       |
| http://www.wikidata.org/prop/direct/P5617  | Evene ID                                                                | 52    |       |
| http://www.wikidata.org/prop/direct/P9371  | FranceArchives agent ID                                                 | 52    |       |
| http://www.wikidata.org/prop/direct/P9995  | MYmovies person ID                                                      | 52    |       |
| http://www.wikidata.org/prop/direct/P607   | participated in conflict                                                | 52    |       |
| http://www.wikidata.org/prop/direct/P10400 | CBDB.cz author ID                                                       | 52    |       |
| http://www.wikidata.org/prop/direct/P1953  | Discogs artist ID                                                       | 52    |       |
| http://www.wikidata.org/prop/direct/P10302 | Film.ru person ID                                                       | 51    |       |
| http://www.wikidata.org/prop/direct/P9534  | Biblioteche della Custodia di Terra Santa a Gerusalemme ID              | 51    |       |
| http://www.wikidata.org/prop/direct/P3630  | Babelio author ID                                                       | 50    |       |
| http://www.wikidata.org/prop/direct/P5361  | BNB person ID (OBSOLETE)                                                | 50    |       |
| http://www.wikidata.org/prop/direct/P2949  | WikiTree person ID                                                      | 50    |       |
| http://www.wikidata.org/prop/direct/P12098 | Kinobox person ID                                                       | 50    |       |
| http://www.wikidata.org/prop/direct/P7400  | LibraryThing author ID                                                  | 50    |       |
| http://www.wikidata.org/prop/direct/P10351 | Turin University student ID                                             | 49    |       |
| http://www.wikidata.org/prop/direct/P7444  | Rijksmuseum Research Library authority ID                               | 48    |       |
| http://www.wikidata.org/prop/direct/P8219  | ASUT ID                                                                 | 47    |       |
| http://www.wikidata.org/prop/direct/P11514 | Great Russian Encyclopedia portal ID                                    | 46    |       |
| http://www.wikidata.org/prop/direct/P4619  | National Library of Brazil ID                                           | 46    |       |
| http://www.wikidata.org/prop/direct/P12597 | museum-digital ID                                                       | 45    |       |
| http://www.wikidata.org/prop/direct/P8848  | CONOR.AL ID                                                             | 44    |       |
| http://www.wikidata.org/prop/direct/P9522  | Biblioteca di Santa Sabina ID                                           | 43    |       |
| http://www.wikidata.org/prop/direct/P25    | mother                                                                  | 42    |       |
| http://www.wikidata.org/prop/direct/P1472  | Commons Creator page                                                    | 42    |       |
| http://www.wikidata.org/prop/direct/P1368  | National Library of Latvia ID                                           | 42    |       |
| http://www.wikidata.org/prop/direct/P9085  | Aracne author ID                                                        | 41    |       |
| http://www.wikidata.org/prop/direct/P6424  | affiliation string                                                      | 40    |       |
| http://www.wikidata.org/prop/direct/P8947  | Museo Galileo authority ID                                              | 40    |       |
| http://www.wikidata.org/prop/direct/P9625  | Dizionario Biografico dell'Educazione (1800–2000) ID                    | 40    |       |
| http://www.wikidata.org/prop/direct/P10844 | Teresianum authority ID                                                 | 38    |       |
| http://www.wikidata.org/prop/direct/P241   | military branch                                                         | 37    |       |
| http://www.wikidata.org/prop/direct/P1617  | BBC Things ID                                                           | 37    |       |
| http://www.wikidata.org/prop/direct/P8151  | Sicilian Regional Assembly ID                                           | 37    |       |
| http://www.wikidata.org/prop/direct/P410   | military, police or special rank                                        | 34    |       |
| http://www.wikidata.org/prop/direct/P9918  | Kallías ID                                                              | 34    |       |
| http://www.wikidata.org/prop/direct/P10780 | Radio France person ID                                                  | 34    |       |
| http://www.wikidata.org/prop/direct/P6394  | ELNET ID                                                                | 34    |       |
| http://www.wikidata.org/prop/direct/P5587  | Libris-URI                                                              | 34    |       |
| http://www.wikidata.org/prop/direct/P5504  | RISM ID                                                                 | 34    |       |
| http://www.wikidata.org/prop/direct/P8168  | FactGrid item ID                                                        | 34    |       |
| http://www.wikidata.org/prop/direct/P9956  | IRIS Sapienza author ID                                                 | 32    |       |
| http://www.wikidata.org/prop/direct/P8851  | CONOR.SR ID                                                             | 32    |       |
| http://www.wikidata.org/prop/direct/P6758  | supported sports team                                                   | 32    |       |
| http://www.wikidata.org/prop/direct/P8982  | Pontificio Istituto di Archeologia Cristiana ID                         | 32    |       |
| http://www.wikidata.org/prop/direct/P10527 | documentation files at                                                  | 32    |       |
| http://www.wikidata.org/prop/direct/P9081  | SEARCH on line catalogue ID                                             | 32    |       |
| http://www.wikidata.org/prop/direct/P8974  | SPAP ID                                                                 | 32    |       |
| http://www.wikidata.org/prop/direct/P11892 | Threads username                                                        | 31    |       |
| http://www.wikidata.org/prop/direct/P1442  | image of grave                                                          | 31    |       |
| http://www.wikidata.org/prop/direct/P641   | sport                                                                   | 31    |       |
| http://www.wikidata.org/prop/direct/P3417  | Quora topic ID                                                          | 30    |       |
| http://www.wikidata.org/prop/direct/P906   | SELIBR ID                                                               | 30    |       |
| http://www.wikidata.org/prop/direct/P793   | significant event                                                       | 29    |       |
| http://www.wikidata.org/prop/direct/P6844  | abART person ID                                                         | 28    |       |
| http://www.wikidata.org/prop/direct/P9536  | SAIA authority ID                                                       | 28    |       |
| http://www.wikidata.org/prop/direct/P742   | pseudonym                                                               | 27    |       |
| http://www.wikidata.org/prop/direct/P9282  | Catalogue of the Capitular Library of Verona author ID                  | 27    |       |
| http://www.wikidata.org/prop/direct/P13068 | Enciclopedia bresciana ID                                               | 26    |       |
| http://www.wikidata.org/prop/direct/P2889  | FamilySearch person ID                                                  | 25    |       |
| http://www.wikidata.org/prop/direct/P11003 | Scinapse author ID                                                      | 25    |       |
| http://www.wikidata.org/prop/direct/P802   | student                                                                 | 24    |       |
| http://www.wikidata.org/prop/direct/P12749 | SNARC ID                                                                | 24    |       |
| http://www.wikidata.org/prop/direct/P1581  | official blog URL                                                       | 24    |       |
| http://www.wikidata.org/prop/direct/P973   | described at URL                                                        | 24    |       |
| http://www.wikidata.org/prop/direct/P13606 | 15min.lt theme ID                                                       | 23    |       |
| http://www.wikidata.org/prop/direct/P10540 | TASS Encyclopedia person ID                                             | 22    |       |
| http://www.wikidata.org/prop/direct/P1399  | convicted of                                                            | 22    |       |
| http://www.wikidata.org/prop/direct/P8849  | CONOR.BG ID                                                             | 21    |       |
| http://www.wikidata.org/prop/direct/P1066  | student of                                                              | 21    |       |
| http://www.wikidata.org/prop/direct/P1801  | plaque image                                                            | 21    |       |
| http://www.wikidata.org/prop/direct/P6126  | Santiebeati ID                                                          | 21    |       |
| http://www.wikidata.org/prop/direct/P8496  | Archive Site Trinity College Cambridge ID                               | 21    |       |
| http://www.wikidata.org/prop/direct/P2048  | height                                                                  | 21    |       |
