| object                                    | Postion Held                                                                                                                         | eff |
| http://www.wikidata.org/entity/Q130469118 | consigliere provinciale di Roma                                                                                                      | 1   |
| http://www.wikidata.org/entity/Q108273509 | prefetto di Roma                                                                                                                     | 1   |
| http://www.wikidata.org/entity/Q108273511 | prefetto di Milano                                                                                                                   | 1   |
| http://www.wikidata.org/entity/Q108574368 | prefetto di Venezia                                                                                                                  | 1   |
| http://www.wikidata.org/entity/Q108574369 | prefetto di Bologna                                                                                                                  | 1   |
| http://www.wikidata.org/entity/Q108574524 | prefetto di Caltanissetta                                                                                                            | 1   |
| http://www.wikidata.org/entity/Q108574929 | prefetto di Lodi                                                                                                                     | 1   |
| http://www.wikidata.org/entity/Q110573215 | presidente della CRUI                                                                                                                | 1   |
| http://www.wikidata.org/entity/Q1145918   | commissario europeo per la politica regionale                                                                                        | 1   |
| http://www.wikidata.org/entity/Q115345847 | Segretario Federale della Lega Nord                                                                                                  | 1   |
| http://www.wikidata.org/entity/Q115959433 | presidente del consiglio comunale                                                                                                    | 1   |
| http://www.wikidata.org/entity/Q28143568  | presidente della Provincia di Brescia                                                                                                | 1   |
| http://www.wikidata.org/entity/Q13655473  | senatore del Regno d'Italia                                                                                                          | 1   |
| http://www.wikidata.org/entity/Q1476458   | commissario europeo per l'ambiente                                                                                                   | 1   |
| http://www.wikidata.org/entity/Q15355639  | presidente dell'Emilia-Romagna                                                                                                       | 1   |
| http://www.wikidata.org/entity/Q1553195   | leader di partito                                                                                                                    | 1   |
| http://www.wikidata.org/entity/Q15722501  | ministro del turismo                                                                                                                 | 1   |
| http://www.wikidata.org/entity/Q165055    | commissario europeo per la salute e la politica dei consumatori                                                                      | 1   |
| http://www.wikidata.org/entity/Q16530159  | Autorità garante per l'infanzia e l'adolescenza                                                                                      | 1   |
| http://www.wikidata.org/entity/Q167662    | segretario generale della NATO                                                                                                       | 1   |
| http://www.wikidata.org/entity/Q1676795   | commissario europeo per i trasporti                                                                                                  | 1   |
| http://www.wikidata.org/entity/Q47529726  | presidente della Liguria                                                                                                             | 1   |
| http://www.wikidata.org/entity/Q39415036  | ministro delle finanze del Regno d'Italia                                                                                            | 1   |
| http://www.wikidata.org/entity/Q39415052  | ministro del tesoro del Regno d'Italia                                                                                               | 1   |
| http://www.wikidata.org/entity/Q39418258  | ministro dell'agricoltura del Regno d'Italia                                                                                         | 1   |
| http://www.wikidata.org/entity/Q39421038  | ministro dell'industria, del commercio e del lavoro del Regno d'Italia                                                               | 1   |
| http://www.wikidata.org/entity/Q3954360   | segretario federale                                                                                                                  | 1   |
| http://www.wikidata.org/entity/Q42744067  | membro della Abgeordnetenhaus                                                                                                        | 1   |
| http://www.wikidata.org/entity/Q4657217   | assessore comunale                                                                                                                   | 1   |
| http://www.wikidata.org/entity/Q47528550  | presidente dell'Abruzzo                                                                                                              | 1   |
