| wikidata_uri                              | label                              | birth_year | gender  | label                    | geo_coordinates             | wikidata_uri                             |
| http://www.wikidata.org/entity/Q1377749   | Alessandro Bianchi                 | 1945       | maschio | Roma                     | POINT(12.482778 41.893056)  | http://www.wikidata.org/entity/Q220      |
| http://www.wikidata.org/entity/Q1378662   | Raffaele de Courten                | 1888       | maschio | Milano                   | POINT(9.190000 45.466944)   | http://www.wikidata.org/entity/Q490      |
| http://www.wikidata.org/entity/Q1379277   | Paolo Emilio Taviani               | 1912       | maschio | Genova                   | POINT(8.933983 44.407186)   | http://www.wikidata.org/entity/Q1449     |
| http://www.wikidata.org/entity/Q1384236   | Leopoldo Elia                      | 1925       | maschio | Fano                     | POINT(13.013611 43.842500)  | http://www.wikidata.org/entity/Q13142    |
| http://www.wikidata.org/entity/Q139055    | Gaetano Martino                    | 1900       | maschio | Messina                  | POINT(15.554167 38.193611)  | http://www.wikidata.org/entity/Q13666    |
| http://www.wikidata.org/entity/Q1394411   | Ignazio La Russa                   | 1947       | maschio | Paternò                  | POINT(14.900000 37.566667)  | http://www.wikidata.org/entity/Q478741   |
| http://www.wikidata.org/entity/Q1394623   | Franco Carraro                     | 1939       | maschio | Padova                   | POINT(11.873333 45.407778)  | http://www.wikidata.org/entity/Q617      |
| http://www.wikidata.org/entity/Q1394911   | Clemente Mastella                  | 1947       | maschio | Ceppaloni                | POINT(14.766667 41.050000)  | http://www.wikidata.org/entity/Q55893    |
| http://www.wikidata.org/entity/Q1398773   | Fausto Gullo                       | 1887       | maschio | Catanzaro                | POINT(16.587500 38.910000)  | http://www.wikidata.org/entity/Q3883     |
| http://www.wikidata.org/entity/Q1412573   | Marta Cartabia                     | 1963       | femmina | San Giorgio su Legnano   | POINT(8.909716 45.569260)   | http://www.wikidata.org/entity/Q43039    |
| http://www.wikidata.org/entity/Q1415906   | Luigi Gui                          | 1914       | maschio | Padova                   | POINT(11.873333 45.407778)  | http://www.wikidata.org/entity/Q617      |
| http://www.wikidata.org/entity/Q1426951   | Flaminio Piccoli                   | 1915       | maschio | Kirchbichl               | POINT(12.066667 47.516667)  | http://www.wikidata.org/entity/Q263647   |
| http://www.wikidata.org/entity/Q1428924   | Nicola Mancino                     | 1931       | maschio | Montefalcione            | POINT(14.884722 40.962500)  | http://www.wikidata.org/entity/Q55057    |
| http://www.wikidata.org/entity/Q1441165   | Francesco Paolo Bonifacio          | 1923       | maschio | Castellammare di Stabia  | POINT(14.480278 40.694722)  | http://www.wikidata.org/entity/Q6737     |
| http://www.wikidata.org/entity/Q1441240   | Francesco Speroni                  | 1946       | maschio | Busto Arsizio            | POINT(8.851800 45.611958)   | http://www.wikidata.org/entity/Q1155     |
| http://www.wikidata.org/entity/Q14633628  | Andrea Abodi                       | 1960       | maschio | Roma                     | POINT(12.482778 41.893056)  | http://www.wikidata.org/entity/Q220      |
| http://www.wikidata.org/entity/Q1499564   | Silvio Gava                        | 1901       | maschio | Vittorio Veneto          | POINT(12.300000 45.983333)  | http://www.wikidata.org/entity/Q47578    |
| http://www.wikidata.org/entity/Q15117583  | Luca Lotti                         | 1982       | maschio | Empoli                   | POINT(10.950000 43.716667)  | http://www.wikidata.org/entity/Q6697     |
| http://www.wikidata.org/entity/Q15143059  | Maria Elena Boschi                 | 1981       | femmina | Montevarchi              | POINT(11.567867 43.523397)  | http://www.wikidata.org/entity/Q52089    |
| http://www.wikidata.org/entity/Q1514742   | Mirko Tremaglia                    | 1926       | maschio | Bergamo                  | POINT(9.670000 45.695000)   | http://www.wikidata.org/entity/Q628      |
| http://www.wikidata.org/entity/Q1522032   | Giacinto Bosco                     | 1905       | maschio | Santa Maria Capua Vetere | POINT(14.250000 41.083333)  | http://www.wikidata.org/entity/Q58894    |
| http://www.wikidata.org/entity/Q1525100   | Gino Giugni                        | 1927       | maschio | Genova                   | POINT(8.933983 44.407186)   | http://www.wikidata.org/entity/Q1449     |
| http://www.wikidata.org/entity/Q1526333   | Giovanni Ponti                     | 1896       | maschio | Venezia                  | POINT(12.331944 45.439722)  | http://www.wikidata.org/entity/Q641      |
| http://www.wikidata.org/entity/Q15279838  | Nunzia Catalfo                     | 1967       | femmina | Catania                  | POINT(15.087269 37.502669)  | http://www.wikidata.org/entity/Q1903     |
| http://www.wikidata.org/entity/Q1528653   | Giuseppe Spataro                   | 1897       | maschio | Vasto                    | POINT(14.708220 42.111589)  | http://www.wikidata.org/entity/Q51313    |
| http://www.wikidata.org/entity/Q1532642   | Paolo Romani                       | 1947       | maschio | Milano                   | POINT(9.190000 45.466944)   | http://www.wikidata.org/entity/Q490      |
| http://www.wikidata.org/entity/Q1535927   | Ottaviano Del Turco                | 1944       | maschio | Collelongo               | POINT(13.585833 41.887778)  | http://www.wikidata.org/entity/Q50087    |
| http://www.wikidata.org/entity/Q153832    | Alcide De Gasperi                  | 1881       | maschio | Pieve Tesino             | POINT(11.609080 46.069060)  | http://www.wikidata.org/entity/Q298712   |
| http://www.wikidata.org/entity/Q1553555   | Guido Gonella                      | 1905       | maschio | Verona                   | POINT(10.992778 45.438611)  | http://www.wikidata.org/entity/Q2028     |
